ID,Category,Question,Answer,Question2
1,Pricing,Is this item on sale?,Let me scan it to check. Some promotions aren’t labeled but are applied at checkout.,Is this item on sale?
2,Pricing,"Do you offer student/senior/military discounts?,""Yes"," we offer a [10%] discount with valid ID. Just show it at checkout.""","Do you offer student/senior/military discounts?,""Yes"
3,Pricing,"Can you apply an online promo code in-store?,""Some online promotions are exclusive"," but let me check — we may have a similar in-store offer.""","Can you apply an online promo code in-store?,""Some online promotions are exclusive"
4,Returns,What’s your return policy?,Items can be returned within 30 days with the receipt. They must be unworn and have tags attached.,What’s your return policy?
5,Returns,"Can I return something I bought online here?,""Yes"," online orders can be returned or exchanged in-store with the confirmation email or order number.""","Can I return something I bought online here?,""Yes"
6,Returns," Exchanges, and Payments"",Do you offer contactless payment?,""Yes, we accept Apple Pay, Google Pay"," and tap-to-pay cards."""," Exchanges, and Payments"",Do you offer contactless payment?,""Yes, we accept Apple Pay, Google Pay"
7,Loyalty," Orders, and Gift Cards"",How can I check my loyalty points?",I can look it up with your phone number or email. You can also check in the app or online.," Orders, and Gift Cards"",How can I check my loyalty points?"
8,Loyalty," Orders, and Gift Cards"",Can I use a gift card here?,""Yes"," both physical and e-gift cards are accepted at checkout."""," Orders, and Gift Cards"",Can I use a gift card here?,""Yes"
9,Loyalty," Orders, and Gift Cards"",How long does it take for an order to arrive if shipped to home?",Standard delivery usually takes 3–5 business days. Express options are also available.," Orders, and Gift Cards"",How long does it take for an order to arrive if shipped to home?"
10,General,What time do you close?,We’re open until [9 PM] today.,What time do you close?
11,General,"Do you offer gift wrapping?,""Yes"," we offer complimentary gift wrapping at the checkout counter.""","Do you offer gift wrapping?,""Yes"
12,General,Is there someone who can help me with a personal shopping session?,Absolutely — I can assist you now or schedule a styling appointment with one of our team members.,Is there someone who can help me with a personal shopping session?
13,General,Can I speak with a manager?,Of course. Let me page the manager on duty for you.,Can I speak with a manager?
14,General,"Can I combine multiple discounts?,""Generally"," only one discount or promo code can be used per purchase. Let me double-check for any exceptions.""","Can I combine multiple discounts?,""Generally"
15,General,"Do sale items qualify for additional discounts?,""Most sale items are already discounted and may not qualify for further reductions"," but I can confirm the policy for you.""","Do sale items qualify for additional discounts?,""Most sale items are already discounted and may not qualify for further reductions"
16,General,"Can I exchange an item instead of returning it?,""Yes, as long as the item is eligible under our return policy, you can exchange it for a different size, color"," or style.""","Can I exchange an item instead of returning it?,""Yes, as long as the item is eligible under our return policy, you can exchange it for a different size, color"
17,General,"Can I get a refund to my original payment method?,""Yes"," refunds are issued to the original form of payment. Gift returns can be refunded to a store credit.""","Can I get a refund to my original payment method?,""Yes"
18,General,"Can I earn points on sale items?,""Yes, loyalty points are awarded based on your total purchase"," including most sale items.""","Can I earn points on sale items?,""Yes, loyalty points are awarded based on your total purchase"
19,General,"Can I reload a gift card?,""Currently, our gift cards are not reloadable"," but you can always purchase a new one.""","Can I reload a gift card?,""Currently, our gift cards are not reloadable"
20,General,"Do you have public restrooms?,""Yes"," restrooms are available at the back of the store near the fitting rooms.""","Do you have public restrooms?,""Yes"
21,General,"Is there Wi-Fi available in the store?,""Yes"," we offer free guest Wi-Fi. Ask any associate for the login details.""","Is there Wi-Fi available in the store?,""Yes"
